name,Z,symbol,configuration
Hydrogen,1,H,1s1
Helium,2,He,1s2
Lithium,3,Li,[He]2s1
Beryllium,4,Be,[He]2s2
Boron,5,B,[He]2s2/2p1
Carbon,6,C,[He]2s2/2p2
Nitrogen,7,N,[He]2s2/2p3
Oxygen,8,O,[He]2s2/2p4
Fluorine,9,F,[He]2s2/2p5
Neon,10,Ne,[He]2s2/2p6
Sodium,11,Na,[Ne]3s1
Magnesium,12,Mg,[Ne]3s2
Aluminum,13,Al,[Ne]3s2/3p1
Silicon,14,Si,[Ne]3s2/3p2
Phosphorus,15,P,[Ne]3s2/3p3
Sulfur,16,S,[Ne]3s2/3p4
Chlorine,17,Cl,[Ne]3s2/3p5
Argon,18,Ar,[Ne]3s2/3p6
Potassium,19,K,[Ar]4s1
Calcium,20,Ca,[Ar]4s2
Scandium,21,Sc,[Ar]4s2/3d1
Titanium,22,Ti,[Ar]4s2/3d2
Vanadium,23,V,[Ar]4s2/3d3
Chromium,24,Cr,[Ar]4s1/3d5
Manganese,25,Mn,[Ar]4s2/3d5
Iron,26,Fe,[Ar]4s2/3d6
Cobalt,27,Co,[Ar]4s2/3d7
Nickel,28,Ni,[Ar]4s2/3d8
Copper,29,Cu,[Ar]4s1/3d10
Zinc,30,Zn,[Ar]4s2/3d10
Gallium,31,Ga,[Ar]4s2/3d10/4p1
Germanium,32,Ge,[Ar]4s2/3d10/4p2
Arsenic,33,As,[Ar]4s2/3d10/4p3
Selenium,34,Se,[Ar]4s2/3d10/4p4
Bromine,35,Br,[Ar]4s2/3d10/4p5
Krypton,36,Kr,[Ar]4s2/3d10/4p6
Rubidium,37,Rb,[Kr]5s1
Strontium,38,Sr,[Kr]5s2
Yttrium,39,Y,[Kr]5s2/4d1
Zirconium,40,Zr,[Kr]5s2/4d2
Niobium,41,Nb,[Kr]5s1/4d4
Molybdenum,42,Mo,[Kr]5s1/4d5
Technetium,43,Tc,[Kr]5s2/4d5
Ruthenium,44,Ru,[Kr]5s1/4d7
Rhodium,45,Rh,[Kr]5s1/4d8
Palladium,46,Pd,[Kr]4d10
Silver,47,Ag,[Kr]5s1/4d10
Cadmium,48,Cd,[Kr]5s2/4d10
Indium,49,In,[Kr]5s2/4d10/5p1
Tin,50,Sn,[Kr]5s2/4d10/5p2
Antimony,51,Sb,[Kr]5s2/4d10/5p3
Tellurium,52,Te,[Kr]5s2/4d10/5p4
Iodine,53,I,[Kr]5s2/4d10/5p5
Xenon,54,Xe,[Kr]5s2/4d10/5p6
Cesium,55,Cs,[Xe]6s1
Barium,56,Ba,[Xe]6s2
Lanthanum,57,La,[Xe]6s2/5d1
Cerium,58,Ce,[Xe]6s2/4f1/5d1
Praseodymium,59,Pr,[Xe]6s2/4f3
Neodymium,60,Nd,[Xe]6s2/4f4
Promethium,61,Pm,[Xe]6s2/4f5
Samarium,62,Sm,[Xe]6s2/4f6
Europium,63,Eu,[Xe]6s2/4f7
Gadolinium,64,Gd,[Xe]6s2/4f7/5d1
Terbium,65,Tb,[Xe]6s2/4f9
Dysprosium,66,Dy,[Xe]6s2/4f10
Holmium,67,Ho,[Xe]6s2/4f11
Erbium,68,Er,[Xe]6s2/4f12
Thulium,69,Tm,[Xe]6s2/4f13
Ytterbium,70,Yb,[Xe]6s2/4f14
Lutetium,71,Lu,[Xe]6s2/4f14/5d1
Hafnium,72,Hf,[Xe]6s2/4f14/5d2
Tantalum,73,Ta,[Xe]6s2/4f14/5d3
Tungsten,74,W,[Xe]6s2/4f14/5d4
Rhenium,75,Re,[Xe]6s2/4f14/5d5
Osmium,76,Os,[Xe]6s2/4f14/5d6
Iridium,77,Ir,[Xe]6s2/4f14/5d7
Platinum,78,Pt,[Xe]6s1/4f14/5d9
Gold,79,Au,[Xe]6s1/4f14/5d10
Mercury,80,Hg,[Xe]6s2/4f14/5d10
Thallium,81,Tl,[Xe]6s2/4f14/5d10/6p1
Lead,82,Pb,[Xe]6s2/4f14/5d10/6p2
Bismuth,83,Bi,[Xe]6s2/4f14/5d10/6p3
Polonium,84,Po,[Xe]6s2/4f14/5d10/6p4
Astatine,85,At,[Xe]6s2/4f14/5d10/6p5
Radon,86,Rn,[Xe]6s2/4f14/5d10/6p6
