label,scale,c,a,energy,structure
graphite,1,6.696,2.456,18.3,P63mc
BN,1,6.69,2.51,14.4,P-6
HfS2,1,5.837,3.635,16.1,P-3m1
HfSe2,1,6.159,3.748,17,P-3m1
HfTe2,1,6.65,3.957,18.6,P-3m1
MoS2,1,12.302,3.162,20.5,P63/mmc
MoSe2,1,12.927,3.289,19.6,P63/mmc
MoTe2,1,13.973,3.518,20.8,P63/mmc
NbSe2,1,12.547,3.442,19.5,P63/mmc
NbTe2,1,6.61,3.68,23,P-3m1
PbO,1,4.995,3.964,20.2,P4/nmm:1
PdTe2,1,5.113,4.024,40.1,P-3m1
PtS2,1,5.043,3.542,20.5,P-3m1
PtSe2,1,5.081,3.727,19,P-3m1
TaS2,1,5.897,3.364,17.6,P-3m1
TaSe2,1,6.272,3.476,19.4,P-3m1
TiS2,1,5.705,3.409,18.8,P-3m1
TiSe2,1,6.004,3.536,17.3,P-3m1
TiTe2,1,6.498,3.777,19.7,P-3m1
VS2,1,5.755,3.221,25.6,P-3m1
VSe2,1,6.107,3.358,22.2,P-3m1
WS2,1,12.323,3.153,20.2,P63/mmc
WSe2,1,12.96,3.282,19.9,P63/mmc
ZrS2,1,5.813,3.662,16.9,P-3m1
ZrSe2,1,6.128,3.77,18.5,P-3m1
ZrTe2,1,6.66,3.952,16.3,P-3m1
